organizacion_id;tipo_institucion_id;institucion_nivel1_id;institucion_nivel2_id;institucion_nivel3_id;institucion_nivel4_id;institucion_nivel5_id;institucion_nivel6_id;institucion_nivel1_descripcion;institucion_nivel2_descripcion;institucion_nivel3_descripcion;institucion_nivel4_descripcion;institucion_nivel5_descripcion;institucion_nivel6_descripcion;sigla;nivel;tipo_entidad_privada_id;estado_organizacion_id;es_doble_dependencia
1;74;00001;;;;;;PRESIDENCIA DE LA NACION;;;;;;;1;;3;N
2;74;00002;;;;;;MINISTERIO DE DEFENSA;;;;;;MINDEF;1;;3;N
3;74;00003;;;;;;MINISTERIO DE HACIENDA;;;;;;MIN HACIENDA;1;;3;N
4;74;00004;;;;;;MINISTERIO DEL INTERIOR;;;;;;;1;;3;N
5;74;00005;;;;;;MINISTERIO DE RELACIONES EXTERIORES Y CULTO;;;;;;MIN RELACIONES EXT NACION;1;;3;N
6;6;00006;;;;;;MINISTERIO DE EDUCACION, CIENCIA Y TECNOLOGIA;;;;;;;1;;6;N
7;74;00007;;;;;;GOBIERNO DE LA CIUDAD AUTONOMA DE BUENOS AIRES;;;;;;CABA;1;;3;N
8;74;00008;;;;;;GOBIERNO DE LA PROVINCIA DE BUENOS AIRES;;;;;;GBA;1;;3;N
9;74;00009;;;;;;GOBIERNO DE LA PROVINCIA DE CORDOBA;;;;;;CORDOBA;1;;3;N
10;74;00010;;;;;;GOBIERNO DE LA PROVINCIA DE CORRIENTES;;;;;;CORRIENTES;1;;3;N
11;74;00011;;;;;;GOBIERNO DE LA PROVINCIA DEL CHUBUT;;;;;;CHUBUT;1;;3;N
12;74;00012;;;;;;GOBIERNO DE LA PROVINCIA DE ENTRE RIOS;;;;;;ENTRE RIOS;1;;3;N
13;74;00013;;;;;;GOBIERNO DE LA PROVINCIA DE MENDOZA;;;;;;MENDOZA;1;;3;N
14;74;00014;;;;;;GOBIERNO DE LA PROVINCIA DEL NEUQUEN;;;;;;NEUQUEN;1;;3;N
15;74;00015;;;;;;GOBIERNO DE LA PROVINCIA DE SALTA;;;;;;SALTA;1;;3;N
16;74;00016;;;;;;GOBIERNO DE LA PROVINCIA DE SAN JUAN;;;;;;SAN JUAN;1;;3;N
17;74;00017;;;;;;GOBIERNO DE LA PROVINCIA DE SAN LUIS;;;;;;SAN LUIS;1;;3;N
18;74;00018;;;;;;GOBIERNO DE LA PROVINCIA DE SANTA FE;;;;;;SANTA FE;1;;3;N
19;74;00019;;;;;;GOBIERNO DE LA PROVINCIA DE TUCUMAN;;;;;;TUCUMAN;1;;3;N
20;74;00020;;;;;;PODER LESGISLATIVO DE LA REPUBLICA ARGENTINA;;;;;;CNRA;1;;3;N
21;73;00587;04913;00021;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - CORDOBA;INSTITUTO DE INVESTIGACIONES EN CIENCIAS DE LA SALUD;;;;INICSA;3;;6;N
22;73;00022;;;;;;COMISION NACIONAL DE ENERGIA ATOMICA;;;;;;CNEA;1;;3;N
23;73;00022;01223;00023;;;;COMISION NACIONAL DE ENERGIA ATOMICA;CENTRO ATOMICO CONSTITUYENTES;DEPARTAMENTO DE FISICA;;;;;3;;6;N
24;73;00022;01223;00024;;;;COMISION NACIONAL DE ENERGIA ATOMICA;CENTRO ATOMICO CONSTITUYENTES;DEPARTAMENTO DE MATERIALES;;;;;3;;6;N
25;73;00022;00025;;;;;COMISION NACIONAL DE ENERGIA ATOMICA;CENTRO ATOMICO BARILOCHE;;;;;CAB;2;;6;N
26;73;00022;05873;01918;00026;;;COMISION NACIONAL DE ENERGIA ATOMICA;GERENCIA D/AREA INVEST Y APLICACIONES NO NUCLEARES;GERENCIA DE FISICA  (CAB);DEPARTAMENTO DE INVESTIGACION BASICA;;;CAB;4;;6;N
27;73;00022;00025;00027;;;;COMISION NACIONAL DE ENERGIA ATOMICA;CENTRO ATOMICO BARILOCHE;DEPARTAMENTO DE INVESTIGACION APLICADA;;;;CAB;3;;6;N
28;73;00022;00025;00028;;;;COMISION NACIONAL DE ENERGIA ATOMICA;CENTRO ATOMICO BARILOCHE;DEPARTAMENTO DE INGENIERIA NUCLEAR;;;;CAB;3;;6;N
29;73;00022;00029;;;;;COMISION NACIONAL DE ENERGIA ATOMICA;GERENCIA DE AREA DE APLICACIONES DE LA TECNOLOGIA  NUCLEAR;;;;;;2;;3;N
30;73;00022;00029;00030;;;;COMISION NACIONAL DE ENERGIA ATOMICA;GERENCIA DE AREA DE APLICACIONES DE LA TECNOLOGIA  NUCLEAR;DIVISION BIOQUIMICA NUCLEAR;;;;;3;;3;N
31;6;00031;;;;;;SECRETARIA DE CIENCIA, TECNOLOG.E INNOVACION PRODUCTIVA;;;;;;SECYT;1;;6;N
32;74;00032;;;;;;SECRETARIA DE CULTURA DE LA NACION;;;;;;;1;;3;N
33;74;00032;00033;;;;;SECRETARIA DE CULTURA DE LA NACION;BIBLIOTECA NACIONAL MARIANO MORENO;;;;;BNMM;2;;3;N
34;74;00032;00034;;;;;SECRETARIA DE CULTURA DE LA NACION;COMISION NACIONAL MUSEOS MONUMEN.Y LUGAR.HISTORICOS;;;;;;2;;3;N
35;74;00032;00035;;;;;SECRETARIA DE CULTURA DE LA NACION;FONDO NACIONAL DE LAS ARTES;;;;;;2;;3;N
36;74;00032;00036;;;;;SECRETARIA DE CULTURA DE LA NACION;COMPLEJO DE MUSEOS DE ARTES Y CIENCIAS;;;;;;2;;3;N
