organizacion_id;actividad_economica_id;tipo_actividad
1233;181;PRINCIPAL
3405;285;PRINCIPAL
3674;181;PRINCIPAL
3905;181;PRINCIPAL
3916;522;PRINCIPAL
3947;169;PRINCIPAL
4500;522;PRINCIPAL
4514;22;PRINCIPAL
4745;229;PRINCIPAL
4772;181;PRINCIPAL
4872;181;PRINCIPAL
5919;583;PRINCIPAL
6031;588;PRINCIPAL
6067;83;PRINCIPAL
6085;602;PRINCIPAL
6747;688;PRINCIPAL
7060;387;PRINCIPAL
7077;588;PRINCIPAL
7132;176;PRINCIPAL
7224;588;PRINCIPAL
7355;588;PRINCIPAL
8462;232;PRINCIPAL
9207;588;PRINCIPAL
9441;428;PRINCIPAL
9677;692;PRINCIPAL
10424;588;PRINCIPAL
10426;588;PRINCIPAL
10429;583;PRINCIPAL
10449;176;PRINCIPAL
10450;113;PRINCIPAL
10451;17;PRINCIPAL
10453;22;PRINCIPAL
10457;42;PRINCIPAL
10474;339;PRINCIPAL
10513;398;PRINCIPAL
10517;588;PRINCIPAL
10520;203;PRINCIPAL
10526;176;PRINCIPAL
10527;187;PRINCIPAL
10560;337;PRINCIPAL
10574;308;PRINCIPAL
10588;181;PRINCIPAL
10589;176;PRINCIPAL
10597;381;PRINCIPAL
10598;657;PRINCIPAL
10599;169;PRINCIPAL
10600;109;PRINCIPAL
10609;737;PRINCIPAL
10631;175;PRINCIPAL
10649;113;PRINCIPAL
10668;80;PRINCIPAL
10686;99;PRINCIPAL
10716;285;PRINCIPAL
10717;417;PRINCIPAL
10868;400;PRINCIPAL
10915;356;PRINCIPAL
10923;262;PRINCIPAL
10924;583;PRINCIPAL
10925;5;PRINCIPAL
10932;583;PRINCIPAL
10933;280;PRINCIPAL
10934;522;PRINCIPAL
10935;308;PRINCIPAL
10936;241;PRINCIPAL
10937;223;PRINCIPAL
10938;218;PRINCIPAL
10939;125;PRINCIPAL
10940;588;PRINCIPAL
10941;375;PRINCIPAL
10942;387;PRINCIPAL
10943;522;PRINCIPAL
10944;181;PRINCIPAL
10948;64;PRINCIPAL
10949;398;PRINCIPAL
10950;270;PRINCIPAL
10951;387;PRINCIPAL
10982;330;PRINCIPAL
11157;232;PRINCIPAL
11301;181;PRINCIPAL
11412;692;PRINCIPAL
11418;522;PRINCIPAL
11419;522;PRINCIPAL
11420;387;PRINCIPAL
11421;522;PRINCIPAL
11422;12;PRINCIPAL
11423;500;PRINCIPAL
11424;522;PRINCIPAL
11425;524;PRINCIPAL
11426;522;PRINCIPAL
11427;583;PRINCIPAL
11428;522;PRINCIPAL
11429;522;PRINCIPAL
11430;136;PRINCIPAL
11431;218;PRINCIPAL
11432;392;PRINCIPAL
11433;580;PRINCIPAL
11434;522;PRINCIPAL
11435;218;PRINCIPAL
11436;522;PRINCIPAL
11437;264;PRINCIPAL
11438;308;PRINCIPAL
11439;24;PRINCIPAL
11440;524;PRINCIPAL
11441;583;PRINCIPAL
11442;173;PRINCIPAL
11443;522;PRINCIPAL
11444;524;PRINCIPAL
11445;522;PRINCIPAL
11446;524;PRINCIPAL
11447;522;PRINCIPAL
11448;737;PRINCIPAL
11449;164;PRINCIPAL
11450;95;PRINCIPAL
11451;205;PRINCIPAL
11452;205;PRINCIPAL
11453;396;PRINCIPAL
11454;205;PRINCIPAL
11455;155;PRINCIPAL
11456;97;PRINCIPAL
11457;264;PRINCIPAL
11458;262;PRINCIPAL
11459;277;PRINCIPAL
11460;218;PRINCIPAL
11461;522;PRINCIPAL
11462;522;PRINCIPAL
11463;262;PRINCIPAL
11464;397;PRINCIPAL
11465;522;PRINCIPAL
11466;522;PRINCIPAL
11467;187;PRINCIPAL
11468;524;PRINCIPAL
11469;262;PRINCIPAL
11470;522;PRINCIPAL
11471;522;PRINCIPAL
11472;174;PRINCIPAL
11473;218;PRINCIPAL
11474;270;PRINCIPAL
11475;494;PRINCIPAL
11476;232;PRINCIPAL
11477;270;PRINCIPAL
11478;95;PRINCIPAL
11479;276;PRINCIPAL
11480;524;PRINCIPAL
11481;522;PRINCIPAL
11482;22;PRINCIPAL
11483;522;PRINCIPAL
11484;522;PRINCIPAL
11485;522;PRINCIPAL
11486;628;PRINCIPAL
11487;524;PRINCIPAL
11488;456;PRINCIPAL
11489;753;PRINCIPAL
11490;232;PRINCIPAL
11491;657;PRINCIPAL
11492;185;PRINCIPAL
11493;24;PRINCIPAL
11494;198;PRINCIPAL
11495;218;PRINCIPAL
11496;588;PRINCIPAL
11497;527;PRINCIPAL
11498;256;PRINCIPAL
11499;12;PRINCIPAL
11500;463;PRINCIPAL
11501;588;PRINCIPAL
11502;15;PRINCIPAL
11503;4;PRINCIPAL
11504;264;PRINCIPAL
11505;22;PRINCIPAL
11506;264;PRINCIPAL
11507;93;PRINCIPAL
11508;42;PRINCIPAL
11509;264;PRINCIPAL
11510;264;PRINCIPAL
11511;115;PRINCIPAL
11512;257;PRINCIPAL
11513;104;PRINCIPAL
11514;4;PRINCIPAL
11515;384;PRINCIPAL
11516;97;PRINCIPAL
11517;15;PRINCIPAL
11518;181;PRINCIPAL
11519;522;PRINCIPAL
11520;382;PRINCIPAL
11521;398;PRINCIPAL
11522;522;PRINCIPAL
11523;34;PRINCIPAL
11524;381;PRINCIPAL
11525;463;PRINCIPAL
11526;270;PRINCIPAL
11527;187;PRINCIPAL
11528;406;PRINCIPAL
11529;330;PRINCIPAL
11530;330;PRINCIPAL
11531;270;PRINCIPAL
11532;93;PRINCIPAL
11533;382;PRINCIPAL
11534;522;PRINCIPAL
11535;277;PRINCIPAL
11536;522;PRINCIPAL
11537;270;PRINCIPAL
11538;158;PRINCIPAL
11539;426;PRINCIPAL
11540;270;PRINCIPAL
11541;270;PRINCIPAL
11542;203;PRINCIPAL
11543;692;PRINCIPAL
11544;209;PRINCIPAL
11545;362;PRINCIPAL
11546;412;PRINCIPAL
11547;12;PRINCIPAL
11548;266;PRINCIPAL
11549;524;PRINCIPAL
11550;392;PRINCIPAL
11551;201;PRINCIPAL
11552;97;PRINCIPAL
11553;93;PRINCIPAL
11554;107;PRINCIPAL
11555;89;PRINCIPAL
