organizacion_id;tipo_institucion_id;nivel;estado_organizacion_id;institucion_nivel1_id;institucion_nivel2_id;institucion_nivel3_id;institucion_nivel4_id;institucion_nivel5_id;institucion_nivel6_id;institucion_nivel1_descripcion;institucion_nivel2_descripcion;institucion_nivel3_descripcion;institucion_nivel4_descripcion;institucion_nivel5_descripcion;institucion_nivel6_descripcion
348;73;2;3;00636;00348;;;;;COMISION DE INVESTIGACIONES CIENTIFICAS DE LA PROVINCIA DE BUENOS AIRES;LABORATORIO DE INVESTIGACIONES DE METALURGIA FISICA;;;;
348;75;4;3;00339;00345;00350;00348;;;UNIVERSIDAD NACIONAL DE LA PLATA;FACULTAD DE INGENIERIA;DEPARTAMENTO DE MECANICA;LABORATORIO DE INVESTIGACIONES DE METALURGIA FISICA;;
359;73;2;3;00636;00359;;;;;COMISION DE INVESTIGACIONES CIENTIFICAS DE LA PROVINCIA DE BUENOS AIRES;INSTITUTO DE BOTANICA CARLOS SPEGAZZINI;;;;
359;75;3;3;00339;00357;00359;;;;UNIVERSIDAD NACIONAL DE LA PLATA;FACULTAD DE CIENCIAS NATURALES Y MUSEO;INSTITUTO DE BOTANICA CARLOS SPEGAZZINI;;;
594;75;2;3;00384;00594;;;;;UNIVERSIDAD NACIONAL DEL LITORAL;INSTITUTO NACIONAL DE LIMNOLOGIA;;;;
594;73;3;3;00587;04934;00594;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - SANTA FE;INSTITUTO NACIONAL DE LIMNOLOGIA;;;
596;75;2;3;00422;00596;;;;;UNIVERSIDAD NACIONAL DEL NORDESTE;CENTRO DE ECOLOGIA APLICADA DEL LITORAL;;;;
596;73;3;3;00587;06293;00596;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - NORDESTE;CENTRO DE ECOLOGIA APLICADA DEL LITORAL;;;
605;73;3;3;00587;08208;00605;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA HOUSSAY;"INSTITUTO DE QUIMICA Y FISICOQUIMICA BIOLOGICAS ""PROF. ALEJANDRO C. PALADINI""";;;
605;75;3;3;00101;00162;00605;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE FARMACIA Y BIOQUIMICA;"INSTITUTO DE QUIMICA Y FISICOQUIMICA BIOLOGICAS ""PROF. ALEJANDRO C. PALADINI""";;;
616;75;3;3;00101;00103;00616;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE AGRONOMIA;INSTITUTO DE INVESTIGACIONES FISIOLOGICAS Y ECOLOGICAS VINCULADAS A LA AGRICULTURA;;;
616;73;3;3;00587;08209;00616;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA PQUE. CENTENARIO;INSTITUTO DE INVESTIGACIONES FISIOLOGICAS Y ECOLOGICAS VINCULADAS A LA AGRICULTURA;;;
620;73;3;3;00587;08208;00620;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA HOUSSAY;CENTRO DE ESTUDIOS FARMACOLOGICOS Y BOTANICOS;;;
620;75;3;3;00101;00192;00620;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE MEDICINA;CENTRO DE ESTUDIOS FARMACOLOGICOS Y BOTANICOS;;;
624;73;2;3;00587;00624;;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;INSTITUTO DE BIOLOGIA Y MEDICINA EXPERIMENTAL;;;;
624;79;2;3;07739;00624;;;;;FUNDACION DE INSTITUTO DE BIOLOGIA Y MEDICINA EXPERIMENTAL;INSTITUTO DE BIOLOGIA Y MEDICINA EXPERIMENTAL;;;;
625;75;3;3;00101;00162;00625;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE FARMACIA Y BIOQUIMICA;INSTITUTO DE INVESTIGACIONES FARMACOLOGICAS;;;
625;73;3;3;00587;08208;00625;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA HOUSSAY;INSTITUTO DE INVESTIGACIONES FARMACOLOGICAS;;;
868;79;2;3;00716;00868;;;;;ACADEMIA NACIONAL DE MEDICINA DE BUENOS AIRES;INSTITUTO DE MEDICINA EXPERIMENTAL;;;;
868;73;3;3;00587;08208;00868;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA HOUSSAY;INSTITUTO DE MEDICINA EXPERIMENTAL;;;
