organizacion_id;localidad_id;partido_id;provincia_id;pais_id;localidad_descripcion;dpa_descripcion;dpt_descripcion;pais_descripcion;direccion_calle;direccion_numero;direccion_cp;telefono;dpt_codigo;dpa__codigo;localidad_codigo;pais_codigo_ISO3;cod_bahra
756;;;3;1;;;Buenos Aires;Argentina;No Informado;0;;;;;;ARG;
866;;;3;1;;;Buenos Aires;Argentina;No Informado;0;;;;;;ARG;
887;;;22;1;;;Santa Fe;Argentina;No Informado;0;;;;;;ARG;
907;;;6;1;;;Corrientes;Argentina;No Informado;0;;;;;;ARG;
1558;;;11;1;;;Jujuy;Argentina;OTERO;262;4600;;;;;ARG;
1578;;2819;7;1;;Resistencia;Chaco;Argentina;AV. LAS HERAS;727;;;;;;ARG;
1736;;;21;1;;;Santa Cruz;Argentina;No Informado;0;;;;;;ARG;
1899;;;3;1;;;Buenos Aires;Argentina;No Informado;0;;;;;;ARG;
3988;;2819;7;1;;Resistencia;Chaco;Argentina;AV. LAS HERAS;727;;;;;;ARG;
4650;;2819;7;1;;Resistencia;Chaco;Argentina;AV. LAS HERAS;727;;;;;;ARG;
4813;;2819;7;1;;Resistencia;Chaco;Argentina;NO INFORMADO;0;;;;;;ARG;
5757;;2819;7;1;;Resistencia;Chaco;Argentina;FRENCH;414;;;;;;ARG;
5953;;;5;1;;;Córdoba;Argentina;AV. VALPARAISO;0;5000;;;;;ARG;
6568;;;16;1;;;Neuquén;Argentina;BUENOS AIRES;1400;8300;;;;;ARG;
6579;;;3;1;;;Buenos Aires;Argentina;MARTIN DE IRIGOYE;3100;;;;;;ARG;
6788;;;24;1;;;Tucumán;Argentina;AV.BENJAMIN ARAOZ;800;4000;;;;;ARG;
6790;;2819;7;1;;Resistencia;Chaco;Argentina;AV. LAS HERAS;727;;;;;;ARG;
7378;;;22;1;;;Santa Fe;Argentina;CDAD.UNIVERSITARIA;0;;;;;;ARG;
7882;;2410;24;1;;Tafí del Valle;Tucumán;Argentina;CASILLA DE CORREO  34;0;4107;;;;;ARG;
8256;;;22;1;;;Santa Fe;Argentina;KREDER;2805;;;;;;ARG;
8475;;;13;1;;;La Rioja;Argentina;AV. LUIS MANSUETO DE LA FUENTE;0;5300;;;;;ARG;
8537;;;24;1;;;Tucumán;Argentina;AYACUCHO;0;4000;;;;;ARG;
8575;;;22;1;;;Santa Fe;Argentina;No Informado;0;;;;;;ARG;
8576;;;22;1;;;Santa Fe;Argentina;No Informado;0;;;;;;ARG;
8584;;;22;1;;;Santa Fe;Argentina;MORENO;2557;S3000CVE;;;;;ARG;
8664;;;22;1;;;Santa Fe;Argentina;AVDA. ARTURO ILLIA;0;;;;;;ARG;
8665;;;22;1;;;Santa Fe;Argentina;AVDA. ARTURO ILLIA;0;;;;;;ARG;
8666;;;22;1;;;Santa Fe;Argentina;RUTA NAC. N? 168;0;;;;;;ARG;
