producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
64;1;2362-616x;;177;187;REVISTA MILLCAYAC;I;;;;CENTRO DE PUBLICACIONES. FCPYS. U. N. CUYO;NO INDEXADO
141;1;;;9;27;FACES;22;46;;;FACULTAD DE CIENCIAS ECONÓMICAS Y SOCIALES UNMDP;NO INDEXADO
177;7;14058421;;229;264;REVISTA ECONOMÍA, SOCIEDAD Y TERRITORIO;XVI;50;;;EL COLEGIO MEXIQUENSE, A.C.;NO INDEXADO
191;1;03288064;;;;ALTERNATIVAS. SERIE: ESPACIO PEDAGOGICO;;68;;;FACULTAD DE CIENCIAS HUMANAS, UNIVERSIDAD NACIONAL DE SAN LUIS;NO INDEXADO
199;1;;;1;15;REVISTA DEL INSTITUTO DE INVESTIGACIONES EN CIENCIAS DE LA EDUCACIÓN;5;5;;;UNIVERSIDAD NACIONAL DEL NORDESTE;NO INDEXADO
206;71;23341009;;1;13;INTERNATIONAL JOURNAL OF ADVANCES IN CHEMISTRY (IJAC);2;3;;;AIRCC PUBLISHING CORPORATION;NO INDEXADO
223;1;0328-3186;;183;205;REVISTA REDES;20;39;;;UNIVERSIDAD NACIONAL DE QUILMES;NO INDEXADO
228;21;00221511;;;;JOURNAL OF HERPETOLOGY;;;;10.1670/14-165;SOC STUDY AMPHIBIANS REPTILES;Q2
229;1;0328-8773;;;;MORA;;;;;MORA;NO INDEXADO
319;31;1612-9202;;476;490;ECOHEALTH;11;;;10.1007/s10393-014-0948-5;SPRINGER;Q1
371;1;1850292X;;9;29;CAZADORES-RECOLECTORES DEL CONO SUR;7;;;;EDITORIAL DE LA UNIVERSIDAD NACIONAL DE MAR DEL PLATA;NO INDEXADO
382;4;0034-9690;;43;52;REVISTA INTERAMERICANA DE PSICOLOGÃ­A;50;1;;10.30849/rip/ijp.v50i1.90;REVISTA INTERAMERICANA DE PSICOLOGIA, INC.;Q4
403;3;19835922;;329;356;DILEMAS REVISTA DE ESTUDOS DE CONFLICTO E CONTROLE SOCIAL;8;2;;;UNIVERSIDAD FEDERAL DO RIO DE JANEIRO;Q3
405;82;0792-4259;;26;36;INVERT. REPROD. DEVELOP.;59;;;10.1080/07924259.2014.980010;INT SCIENCE SERVICES/BALABAN PUBLISHERS;Q3
407;39;0956-5663;;580;590;BIOSENSORS & BIOELECTRONICS;63;;;10.1016/j.bios.2014.04.034;ELSEVIER ADVANCED TECHNOLOGY;Q1
408;39;0956-5663;;591;601;BIOSENSORS & BIOELECTRONICS;63;;;10.1016/j.bios.2014.04.053;ELSEVIER ADVANCED TECHNOLOGY;Q1
410;39;1566-7367;;209;214;CATALYSIS COMMUNICATIONS;58;5;;10.1016/j.catcom.2014.09.015;ELSEVIER SCIENCE BV;Q1
412;31;09210296;;37;53;JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS;77;1;;10.1007/s10846-014-0092-z;SPRINGER;Q1
414;39;0960-8524;;406;409;BIORESOURCE TECHNOLOGY;177;;;10.1016/j.biortech.2014.11.105;ELSEVIER SCI LTD;Q1
416;31;0942-9352;;417;426;ZEITSCHRIFT FÜR PHYSIKALISCHE CHEMIE;229;3;;10.1515/zpch-2014-0617;OLDENBOURG VERLAG;Q3
417;21;1680-0737;;;;IFMBE PROCEEDINGS;49;;;;   SPRINGER;NO INDEXADO
422;39;1566-7367;;65;69;CATALYSIS COMMUNICATIONS;60;;;;ELSEVIER SCIENCE BV;Q1
425;21;0175-8659;;88;94;JOURNAL OF APPLIED ICHTHYOLOGY-ZEITSCHRIFT FUR ANGEWANDTE ICHTHYOLOGIE;31;01;;10.1111/jai.12496;WILEY-BLACKWELL PUBLISHING, INC;Q2
426;35;1695?7121;;395;410;PASOS - REVISTA DE TURISMO Y PATRIMONIO CULTURAL;13;2;;;PASOS - REVISTA DE TURISMO Y PATRIMONIO CULTURAL;NO INDEXADO
428;39;18777503;;58;66;JOURNAL OF COMPUTATIONAL SCIENCE;6;;;10.1016/j.jocs.2014.12.001;ELSEVIER;Q1
429;82;17599660;;490;499;ANALYTICAL METHODS;7;;;10.1039/C4AY02324B;ROYAL SOCIETY OF CHEMISTRY;Q1
431;39;1382-6689;;9;15;ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY;39;1;;10.1016/j.etap.2014.10.015;ELSEVIER SCIENCE BV;Q2
432;39;0927-0256;;142;148;COMPUTATIONAL MATERIALS SCIENCE;98;;;10.1016/j.commatsci.2014.11.003;ELSEVIER SCIENCE BV;Q1
433;21;0960-1481;;208;216;RENEWABLE ENERGY;77;;;10.1016/j.renene.2014.11.094;PERGAMON-ELSEVIER SCIENCE LTD;Q1
434;21;0045-6535;;343;350;CHEMOSPHERE;120;;;10.1016/j.chemosphere.2014.07.088;PERGAMON-ELSEVIER SCIENCE LTD;Q1
435;39;0020-0190;;199;202;INFORMATION PROCESSING LETTERS;115;2;;10.1016/j.ipl.2014.09.011;ELSEVIER SCIENCE BV;Q2
437;48;0303-7207;;111;119;MOLECULAR AND CELLULAR ENDOCRINOLOGY.;401;;;10.1016/j.mce.2014.12.002;ELSEVIER IRELAND LTD;Q1
439;21;0278-5846;;227;234;PROGRESS OF NEUROPSYCHOPHARMACOLOGY AND BIOLOGICAL PSYCHIATRY;56;;;10.1016/j.pnpbp.2014.09.012;PERGAMON-ELSEVIER SCIENCE LTD;Q1
440;82;2193-4126;;104;109;JOURNAL OF FOOD MEASUREMENT AND CHARACTERIZATION;9;1;;10.1007/s11694-014-9215-2;SPRINGER;Q3
443;5;07188706;;17;30;AVANCES EN CIENCIAS E INGENIERIA (LATINDEX);6;1;;;EXECUTIVE BUSINESS SCHOOL ;NO INDEXADO
444;21;0010-4825;;66;73;COMPUTERS IN BIOLOGY AND MEDICINE;57;;;10.1016/j.compbiomed.2014.11.013;PERGAMON-ELSEVIER SCIENCE LTD;Q2
445;82;1463-9076;;4945;4951;PHYSICAL CHEMISTRY CHEMICAL PHYSICS;17;;;10.1039/c4cp04738a;ROYAL SOC CHEMISTRY;Q1
446;39;0926-3373;;167;173;APPLIED CATALYSIS B-ENVIRONMENTAL;162;;;10.1016/j.apcatb.2014.06.047;ELSEVIER SCIENCE BV;Q1
447;7;1665529X;;24;38;INGENIERÍA. REVISTA ACADÉMICA;18;3;;;FACULTAD DE INGENIERÍA DE LA UNIVERSIDAD AUTÓNOMA DE YUCATÁN;NO INDEXADO
448;82;1364-727X;;118;126;INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY;68;;;10.1111/1471-0307.12161;WILEY-BLACKWELL PUBLISHING, INC;Q2
449;43;;;1;28;ETNOGRAFICA;19;1;;10.4000/etnografica.3884;CENTRO EM REDE DE INVESTIGAÇÃO EM ANTROPOLOGIA (CRIA);NO INDEXADO
450;39;0959-6526;;91;96;JOURNAL OF CLEANER PRODUCTION;90;;;;ELSEVIER SCI LTD;Q1
451;21;0098-1354;;350;362;COMPUTERS AND CHEMICAL ENGINEERING;72;;;10.1016/j.compchemeng.2014.04.008;PERGAMON-ELSEVIER SCIENCE LTD;Q1
452;39;0268-005X;;8;17;FOOD HYDROCOLLOIDS;43;;;10.1016/j.foodhyd.2014.04.026;ELSEVIER SCI LTD;Q1
454;82;0301-4460;;1;8;ANNALS OF HUMAN BIOLOGY;42;1;;10.3109/03014460.2014.968207;TAYLOR & FRANCIS LTD;Q2
456;64;1431-0651;;207;220;EXTREMOPHILES;19;1;;10.1007/s00792-014-0700-7;SPRINGER TOKYO;Q1
457;39;0925-7535;;274;282;SAFETY SCIENCE;72;;;10.1016/j.ssci.2014.09.014;ELSEVIER SCIENCE BV;Q1
458;82;2040-2503;;619;625;MEDCHEMCOMM;6;;;10.1039/c4md00430b;ROYAL SOCIETY OF CHEMISTRY;Q1
461;1;15141535;;;;REVISTA INTERDISCIPLINARIA DE ESTUDIOS AGRARIOS;;;;;PROGRAMA INTERDISCIPLINARIO DE ESTUDIOS AGRARIOS;NO INDEXADO
462;31;1345-711X;;1;9;JOURNAL OF STRUCTURAL AND FUNCTIONAL GENOMICS;16;;;10.1007/s10969-014-9191-0;SPRINGER;Q1
