producto_id;pais_edicion_id;editorial;isbn
210245;1;EDITORIAL BRUJAS;978-987-591-379-0
325050;39;SPRINGER;0-0000-0000-0
397613;82;ELGAR PUBLISHERS;0-0000-0000-0
456859;45;SPRINGER INTERNATIONAL PUBLISHING;978-3-030-52592-7
459688;2;ITINERARIOS, COLECCIÓN SCRIPTA AUTOCHTONA;978-9917-9862-1-8
462311;1;INSTITUTO DE TEORÍA CRÍTICA DE BERLÍN ?BERLINER INSTITUT FÜR KRITISCHE THEORIE (INKRIT) - EDICIONES HERRAMIENTA;978-987-4058-09-6
467472;35;SIRUELA;978-84-18245-46-6
468402;1;BIBLOS;950-895-146-X
474379;1;TIRAXI EDICIONES;0-0000-0000-0
474393;1;PAIDÓS;0-0000-0000-0
481544;1;LA MAR SERENA;987-543-074-9
485167;45;SPRINGER;978-3-030-56095-9
490929;1;INTA EDICIONES  COLECCIÓN HORTICULTURA ARGENTINA;978-987-8333-46-5
491661;1;EUDEBA;978-987-4110-23-7
492959;1;NJ EDITOR;0-0000-0000-0
492960;82;PALGRAVE;978-1-137-34879-1
496440;1;EUDEBA;9789502331423
496967;1;HYA EDICIONES;978-987-3638-45-9
497607;1;TESEO PRESS;978-987-86-7794-1
498871;436;EDITORIAL ACADÉMICA ESPAÑOLA;978-620-3-03340-3
499020;1;EDITORIAL DE LA UNIVERSIDAD DEL ACONCAGUA;978-987-1511-99-0
499021;1;TESEO;9789878682976
499460;5;EDICIONES UNIVERSIDAD DIEGO PORTALES;978-956-314-115-3
499512;1;GONZÁLEZ GÓMEZ, DANIEL ALBERTO;978-987-868-199-3
499589;5;EDICIONES UNIVERSIDAD DIEGO PORTALES;978-956-314-115-3
499663;5;EDICIONES UNIVERSIDAD DIEGO PORTALES;978-956-314-034-7
499844;5;EDITORIAL DE LA UNIVERSIDAD DE LA SERENA;978-956-6071-11-2
500129;1;EDITORIAL DUNKEN;978-987-763-633-8
500131;1;EDICIONES UNL;978-987-692-260-9
500156;1;DUNKEN;978-987-85-1115-3
500311;35;LIBROS DEL EDITOR URJC;978-84-368-3913-5
500629;1;CONTEXTO;978-987-730-489-3
500704;1;GRAMA;978-987-8372-46-4
500840;1;EDITORIAL DE LA UNIVERSIDAD NACIONAL DE ROSARIO;978-987-702-409-8
500846;1;BIBLOS;978-987-25834-5-3
501089;1;EUFYL (FACULTAD DE FILOSOFÍA Y LETRAS, UNIVERSIDAD DE BUENOS AIRES);0-0000-0000-0
501091;1;TESEO;978-950-9581-52-4
501202;45;FRONTIERS IN SUSTAINABLE FOOD SYSTEMS;978-1-910190-89-0
501203;31;SPRINGER;978-1-0716-1649-9
501979;1;PROMETEO LIBROS;978-987-8331-95-9
502161;1;EDIUNC. EDICIONES DE LA UNIVERSIDAD NACIONAL DE CUYO;9789503902370
502465;1;TESEO;0-8436-1072-7
502688;1;HYGEA EDICIONES;9789878674445
502694;1;EDUVIM;0-8436-1072-7
