producto_id;tipo_parte_libro_id;pais_edicion_id;editorial;isbn;titulo_libro;pagina_inicial;pagina_final
138492;1;515;INTECH;978-953-51-0501-5;Municipal and Industrial Waste Disposal;3;26
138511;1;515;INTECH;978-953-307-928-8;Advances in Photosynthesis - Fundamental Aspects;191;214
138544;1;1;NOVA SCIENCE PUBLISHERS INC;9781620814406;Beneficial effects of propolis on human health and chronic diseases;161;169
138574;1;1;MEDIOS AUDIOVISUALES DE LA FACULTAD DE ODONTOLOGIA;978-950-33-0854-7;MANUAL DE CONTENIDOS Y EJERCITACIONES.AREA PRE CLINICA;74;94
138585;1;515;INTECHOPEN;978-953-307-787-1;Crop Production Technologies;199;210
138595;1;570;IK INTERNATIONAL PUBLISHING HOUSE;978-9-381-14152-6;Frontiers in Biodiversity studies;164;178
138615;1;1;EDUCA;978-987-620-198-8;Discapacidad e Investigación: aportes desde la práctica;167;198
138623;1;21;NOVA SCIENCE PUBLISHERS;978-1-61942-560-6;Glycans: Biochemistry, Characterization and Applications;207;268
138635;1;21;NOVA SCIENCE PUBLISHERS;978-1-61209-397-0;Pollution Monitoring;1;30
138642;1;16;SOC. CUBANA PARA LA CIENCIA DEL ANIMAL DE LABORATORIO;;Manual de Primatologia Latinoamericana;21;35
138644;1;21;NOVA PUBLISHERS;978-1-61942-197-4;Abiotic Stress: New Research;99;132
138650;1;1;ISHIR/CONICET;978-987-25834-3-9;LA CIUDAD EN MOVIMIENTO. ESPACIO PUBLICO, SOCIEDAD Y POLITICA. ROSARIO 1910-1940;17;34
138654;1;9;CLAFEN;978-9972-42-619-3;Acta Fenomenológica Latinoamericana;501;519
138657;1;1;UNTREF;9789871172993;HAYDEN WHITE, LA ESCRITURA DEL PASADO Y EL FUTURO DE LA HISTORIOGRAFÍA;200;214
138663;1;35;EDICIONES DIAZ-SANTOS;9788499690513;Probióticos y salud;137;154
138675;1;1;EUDEBA;978-950-23-1942-1;Difusión de Derechos y Ciudadania en la Escuela. Segunda edición, corregida y ampliada.;149;174
138689;1;64;ADTHREE PUBLISHING CO., LTD.;978-4-904419-37-3;Sperm Cell Research in 21st Century: Historical Discoveries to New Horizons.;130;135
138698;1;1;PROHISTORIA;978-987-1304-80-6;Organización política y Estado en tiempos del peronismo;6;25
138703;1;21;CRC PRESS TAYLOR & FRANCIS GROUP;9781138199644;COLOR IN FOOD Technological and Psychophysical Aspects;240;250
138704;1;21;NOVA  SCIENCE PUBLISHERS, INC.;978-1-61942-739-6;Testis:  Anatomy, Physiology and  Pathology;93;109
138718;1;35;EDICIONES DIAZ-SANTOS;978-84-9969-051-3;Probióticos y salud;451;478
138719;1;71;PETER LANG PUBLISHING;978-1-4331-1478-6;Surviving economic crises through education;149;162
