proyecto_id;organizacion_id;persona_id;financiadora;ejecutora;evaluadora;adoptante;beneficiaria;adquiriente;porcentaje_financiamiento
1;64;;Y;Y;N;N;N;N;40
1;5391;;Y;N;Y;N;N;N;60
3;326;;Y;Y;N;N;N;N;10
3;422;;Y;Y;N;N;N;N;10
3;5391;;Y;N;Y;N;N;N;80
4;422;;Y;Y;N;N;N;N;10
4;5391;;Y;N;Y;N;N;N;80
4;12295;;Y;Y;N;N;N;N;10
5;5391;;Y;N;Y;N;N;N;44
5;11982;;Y;Y;N;N;N;N;56
6;11533;;Y;Y;N;N;N;N;10
6;5391;;Y;N;Y;N;N;N;80
6;6308;;Y;Y;N;N;N;N;10
7;11838;;Y;Y;N;N;N;N;20
7;5391;;Y;N;Y;N;N;N;80
8;1654;;Y;Y;N;N;N;N;20
8;5391;;Y;N;Y;N;N;N;80
9;5391;;Y;N;Y;N;N;N;76
9;12602;;Y;Y;N;N;N;N;24
10;5391;;Y;N;Y;N;N;N;79
10;;117155;Y;N;N;N;Y;N;10
10;422;;Y;Y;N;N;N;N;10
11;5391;;Y;N;Y;N;N;N;80
11;11648;;Y;Y;N;N;N;N;10
11;1726;;Y;Y;N;N;N;N;10
12;1726;;Y;Y;N;N;N;N;21
12;5391;;Y;N;Y;N;N;N;79
13;3405;;Y;Y;N;N;N;N;22
13;5391;;Y;N;Y;N;N;N;78
14;5391;;Y;N;Y;N;N;N;80
14;6003;;Y;Y;N;N;N;N;20
15;5391;;Y;N;Y;N;N;N;76
15;13239;;Y;Y;N;N;N;N;24
16;11;;Y;Y;N;N;N;N;30
16;5391;;Y;N;Y;N;N;N;70
17;11412;;Y;Y;N;N;N;N;11
17;297;;Y;Y;N;N;N;N;11
17;5391;;Y;N;Y;N;N;N;78
18;317;;Y;Y;N;N;N;N;21
18;5391;;Y;N;Y;N;N;N;79
19;5391;;Y;N;Y;N;N;N;79
19;12983;;Y;Y;N;N;N;N;21
20;550;;Y;Y;N;N;N;N;21
20;5391;;Y;N;Y;N;N;N;79
21;5391;;Y;N;Y;N;N;N;80
21;11555;;Y;Y;N;N;N;N;10
21;2061;;Y;Y;N;N;N;N;10
22;297;;Y;Y;N;N;N;N;35
22;5391;;Y;N;Y;N;N;N;65
23;5391;;Y;N;Y;N;N;N;80
23;12410;;Y;Y;N;N;N;N;5
23;14390;;Y;Y;N;N;N;N;5
23;14841;;Y;Y;N;N;N;N;5
23;297;;Y;Y;N;N;N;N;5
24;5391;;Y;N;Y;N;N;N;79
24;14691;;Y;Y;N;N;N;N;21
25;5391;;Y;N;Y;N;N;N;79
25;8453;;Y;Y;N;N;N;N;21
26;12018;;Y;Y;N;N;N;N;10
26;422;;Y;Y;N;N;N;N;10
26;5391;;Y;N;Y;N;N;N;80
27;5391;;Y;N;Y;N;N;N;79
27;14687;;Y;Y;N;N;N;N;21
28;5391;;Y;N;Y;N;N;N;77
28;9207;;Y;Y;N;N;N;N;11
28;13265;;Y;Y;N;N;N;N;11
29;523;;Y;Y;N;N;N;N;21
29;5391;;Y;N;Y;N;N;N;79
30;11631;;Y;Y;N;N;N;N;10
30;398;;Y;Y;N;N;N;N;10
30;5391;;Y;N;Y;N;N;N;80
31;12428;;Y;Y;N;N;N;N;50
31;5391;;Y;N;Y;N;N;N;50
32;12926;;Y;Y;N;N;N;N;17
32;339;;Y;Y;N;N;N;N;17
32;4757;;Y;Y;N;N;N;N;17
