proyecto_id;disciplina_id
117;1
128;53
133;1
134;174
138;108
139;192
146;1
160;53
165;1
166;1
167;53
168;53
169;108
170;1
171;108
172;53
173;1
175;1
176;108
177;192
178;1
179;108
180;108
181;53
182;192
183;1
184;108
185;53
186;53
187;1
188;225
189;1
190;1
192;108
193;1
194;1
195;1
196;174
197;174
198;1
199;53
200;108
201;1
202;1
203;108
204;225
205;1
206;1
207;1
208;1
210;53
211;108
212;1
213;53
214;225
215;108
219;225
221;53
222;1
223;1
225;1
226;1
227;1
228;53
230;53
231;174
232;225
233;108
234;174
235;174
237;174
238;1
239;174
240;1
241;1
242;53
243;225
244;225
245;1
247;108
249;1
250;53
251;174
252;1
253;53
254;1
255;1
256;1
257;1
258;53
260;225
261;53
262;108
263;1
264;1
266;1
267;53
269;1
270;174
271;192
272;108
273;1
275;1
276;53
277;1
278;1
279;1
280;108
281;1
282;192
283;53
284;53
285;1
286;108
287;108
288;192
289;53
290;1
291;1
292;225
293;1
294;174
295;225
296;174
297;1
298;108
299;192
300;1
301;53
302;1
303;225
304;1
306;174
307;53
308;108
309;53
310;108
311;225
312;53
313;1
314;108
315;108
316;192
317;1
318;108
319;1
320;1
321;108
323;1
324;53
325;53
326;1
327;1
328;174
329;1
330;53
331;1
332;1
333;53
334;1
335;1
336;108
337;1
341;108
342;1
343;108
344;1
345;192
346;108
349;53
353;53
354;1
355;108
360;174
361;174
362;108
363;108
364;1
365;225
366;53
367;174
368;53
370;108
371;108
372;108
373;1
374;1
375;1
376;1
377;1
378;108
379;192
380;1
381;1
382;174
383;1
384;1
385;225
386;174
387;53
388;108
389;192
390;1
391;53
392;225
394;108
395;1
396;1
397;1
398;1
399;108
400;174
401;225
402;1
403;1
404;1
405;1
406;53
408;108
409;225
410;1
411;225
412;225
413;1
414;192
415;1
416;1
417;1
418;1
419;53
420;225
422;192
423;174
424;174
425;53
426;1
427;192
428;1
429;1
430;1
431;174
432;1
433;192
434;225
435;1
437;53
438;1
439;1
440;1
441;1
442;174
443;174
444;1
445;1
446;1
447;108
448;1
449;1
450;174
451;1
452;1
453;1
454;1
455;108
456;53
457;174
458;53
459;174
460;174
461;53
462;1
463;174
464;1
465;225
466;108
467;1
468;1
470;108
471;1
472;53
473;53
474;1
475;1
476;108
477;1
478;1
479;225
480;225
481;1
482;108
483;174
484;1
485;1
486;174
487;1
488;225
489;1
490;1
491;108
492;53
493;192
494;225
495;108
496;108
497;108
498;108
499;108
500;174
501;1
503;1
504;53
505;1
506;1
507;174
508;1
509;1
510;1
511;1
512;108
513;174
514;108
