proyecto_id;proyecto_fuente;titulo;fecha_inicio;fecha_finalizacion;resumen;moneda_id;monto_total_solicitado;monto_total_adjudicado;monto_financiado_solicitado;monto_financiado_adjudicado;tipo_proyecto_id;codigo_identificacion;palabras_clave;estado_id;fondo_anpcyt;cantidad_miembros_F;cantidad_miembros_M;sexo_director
8051;ANPCYT;Desarrollo a escala piloto de liposomas de verteporfina;2008/11/05 00:00:00.000;2012/12/21 00:00:00.000;No publicable;1;384996.5;464959.37;190318.85;190318.65;6;ANR 600 CB 001/06;;1;FONTAR;;;M
8052;ANPCYT;Desarrollo de tecnología de cultivo de células madre de folículo piloso para principios activos aplicables en prácticas de implante capilar y fortalecimiento del cabello;2008/11/12 00:00:00.000;2012/12/28 00:00:00.000;No publicable;1;663677.72;623177.72;329400.0;300900.0;6;ANR 600 NA 352/06;;1;FONTAR;;;F
8053;ANPCYT;Desarrollo de un Sistema de Administración Transdermal de Selegilina genérico al producto EMSAM.;2008/01/10 00:00:00.000;2012/07/27 00:00:00.000;No publicable;1;1176264.0;924564.0;583830.0;392730.0;6;ANR 600 NA 208/06;;1;FONTAR;;;M
8061;ANPCYT;Desarrollo de un sistema de geoposicionamiento de alta presición en tiempo real;2008/09/24 00:00:00.000;2012/07/03 00:00:00.000;No publicable;1;241752.0;241752.0;117500.0;117500.0;6;ANR 600 CO 002/06;;1;FONTAR;;;M
8066;ANPCYT;Desarrollo de una plantación modelo de una nueva especie frutal denominada baby kiwi;2008/05/23 00:00:00.000;2011/04/01 00:00:00.000;No publicable;1;193600.0;177100.0;91800.0;83800.0;6;ANR 600 NA 029/06;;1;FONTAR;;;M
8070;ANPCYT;Desarrollo de ingeniería de procesos y producto para fabricación de hormonales segregados inyectables y puesta a punto de planta piloto para su fabricación.;2008/11/25 00:00:00.000;2009/06/26 00:00:00.000;No publicable;1;1440349.0;1333097.0;599999.9;419048.0;6;ANR 600 NA 358/06;;1;FONTAR;;;M
8073;ANPCYT;Desarrollo tecnológico de un prototipo de horno de proceso para la industria de petróleo y gas;2008/05/29 00:00:00.000;2010/01/15 00:00:00.000;No publicable;1;701765.0;702125.57;329615.0;325865.0;6;ANR 600 NA 136/06;;1;FONTAR;;;M
8076;ANPCYT;IDENTIFICACION, EVALUACION, SELECCIÓN Y MULTIPLICACION DE CLONES DE LA VARIEDAD MALBEC PARA EL MEJORAMIENTO CUALITATIVO DE LOS VINOS ARGENTINOS.;2008/01/10 00:00:00.000;2011/04/08 00:00:00.000;No publicable;1;268280.74;268280.74;113840.0;113840.0;6;ANR 600 NA 195/06;;1;FONTAR;;;M
8079;ANPCYT;Desarrollo de sistema integral de comunicaciones ip;2008/01/24 00:00:00.000;2009/01/27 00:00:00.000;No publicable;1;309497.44;309497.44;144864.74;130929.24;6;ANR 600 NA 319/06;;1;FONTAR;;;M
8081;ANPCYT;Desarrollo de un equipo semirremolque batea con caja de vuelco trasero, adaptable para transporte de áridos, barros y/o cereales, mediante la utilización de nuevos componentes y sistemas de conformado;2008/01/18 00:00:00.000;2009/07/08 00:00:00.000;No publicable;1;225787.2;225787.2;112234.0;112234.0;6;ANR 600 NA 250/06;;1;FONTAR;;;S/D
8084;ANPCYT;Producción de Software con Nueva Metodología para la Generación de Aplicaciones OO - Segunda Etapa;2008/07/02 00:00:00.000;2009/12/04 00:00:00.000;No publicable;1;295630.0;287730.0;145715.0;142265.0;6;ANR 600 NA 292/06;;1;FONTAR;;;M
