proyecto_id;proyecto_fuente;titulo;fecha_inicio;fecha_finalizacion;resumen;moneda_id;monto_total_solicitado;monto_total_adjudicado;monto_financiado_solicitado;monto_financiado_adjudicado;tipo_proyecto_id;codigo_identificacion;palabras_clave;estado_id;fondo_anpcyt;cantidad_miembros_F;cantidad_miembros_M;sexo_director
13338;CONICET;Reptiles marinos jurásico-cretácicos de Patagonia y Antártida;2009/01/01 00:00:00.000;2011/12/31 00:00:00.000;"Durante el Mesozoico varios linajes de reptiles conquistaron el mar.  Sobre una caracterización global de la biodiversidad primaria y  morfológica de estos  reptiles, se propusieron modelos sobre la  estructura de las comunidades, y se  analizaron las modificaciones  morfológicas que posibilitaron la conquista del mar. Estos modelos  tienen base, fundamentalmente, en unos pocos Lagerstätten del  Hemisferio Norte. El rico registro de reptiles marinos jurásico de  Patagonia, y cretácicos de Patagonia y Antártida, brinda una excelente  oportunidad de contrastar estos modelos e hipótesis. Los resultados  obtenidos, con base en el registro de Patagonia y Antártida, permiten  construir las hipótesis de trabajo que se testarán mediante el  desarrollo de este proyecto: la transición Jurásico-Cretácico en el  margen sur del Pacífico Oriental no estuvo caracterizada por un evento  de reorganización faunística; las modificaciones morfo-fisiológicas  que posibilitaron la vida en el mar de reptiles se dieron gradualmente  en cada uno de los linajes; las estrechas afinidades entre las faunas  del Jurásico Medio y Superior del margen sur del Pacífico Oriental y las del  Tethys Occidental se vieron favorecidas por la apertura del Corredor  Hispano; ciertos plesiosaurios y mosasaurios son endémicos de la Provincia Weddelliana (Cretácico Superior).";1;89850.0;89850.0;89850.0;89850.0;22;11220080100426CO;"reptiles marinos; jurasico; cretacico";1;;3;1;F
13339;CONICET;Meteoritos formados bajo condiciones reductoras;2009/01/01 00:00:00.000;2011/12/31 00:00:00.000;El presente proyecto tiene como objetivo investigar las condiciones reinantes en las zonas dominadas por características reductoras de la Nebulosa Solar mediante el estudio de los meteoritos formados en ellas. Estas condiciones de formación dejan sus huellas en fases que son resguardadas de los posteriores cambios a los cuales los meteoritos son expuestos. Nuestras investigaciones sobre las fases vítreas demuestran que ellas quedan protegidas dentro de los minerales huéspedes, como los olivinos, y por lo tanto son fuente de informaciones prístinas para determinar las condiciones físico-químicas que prevalecieron durante la formación del olivino portador. El hecho que los olivinos están comprendidos –junto con las inclusiones refractarias ricas en Ca y Al-, entre las primeras fases en condensar a partir del gas de una Nebulosa Solar que se enfría, tanto su estudio -como aquel de los vidrios que este mineral contiene- nos dará información de los primeros tiempos de formación de los sólidos en una Nebulosa Solar heterogénea. Según lo documentado por los objetos que llegan a nuestro planeta, estas condiciones pueden ser reductoras intermedias -evidenciadas por los meteoritos de tipo SNC- o bien, reductoras extremas -como lo indican las condritas y acondritas a enstatita.   Este proyecto permitirá confirmar si el modelo que estamos desarrollando - tendiente a la unificación de todos los meteoritos a través de un único proceso genético- puede ser aplicado en estas regiones de la Nebulosa Solar primigenia.;1;36000.0;36000.0;36000.0;36000.0;22;11220080101645CO;"comoquimica; meteorito; genesis";1;;0;2;F
13349;CONICET;Propiedades  Mecánicas  Globales y de Superficie de Micro y Nanocompuestos de Polipropileno;2009/01/01 00:00:00.000;2011/12/31 00:00:00.000;El polipropileno es uno de los polímeros mas utilizados en aplicaciones tecnológicas debido a su atractiva relación costo/prestación.  Su modificación con micro o nano cargas se presenta actualmente como una alternativa para el reemplazo de materiales de ingeniería más costosos. En aplicaciones como la industria automotriz, las partes plásticas se someten a cargas multiaxiales importantes. Estas aplicaciones demandan excelentes propiedades mecánicas globales, alta resistencia al creep y buena resistencia al rayado. Por otro lado, en aplicaciones microelectrónicas y biomédicas los materiales están sometido a micro y nano cargas suficientes para causar deformación mecánica a nivel de la superficie. En estos casos, las propiedades que interesan son locales (dureza, módulo, tensión de fluencia, recuperación elástica) a nivel de las capas cercanas a la superficie. Los valores de estas propiedades dependen de la estructura química, peso molecular, grado de ramificación, fases amorfas y cristalinas presentes, cargas y refuerzos, y de la morfología inducida por la técnica de transformación. Dicha morfología se desarrolla bajo condiciones  impuestas por variables termomecánicas de procesamiento (tipo de proceso, temperatura, velocidad de flujo, presiones, etc.).El objetivo primario de este proyecto es determinar el comportamiento mecánico global (deformación y fractura) y el comportamiento mecánico cercano a la superficie (deformación y rayado) de  polipropileno modificado con microfibras de vidrio y de polipropileno cargado con nanoarcilla conformados por inyección. Para ello, se usarán metodologías de medición capaces de determinar propiedades mecánicas aptas para el diseño ingenieril. A partir de ensayos instrumentados, se determinarán la curva tensión-deformación en distintas condiciones de carga, los parámetros de mecánica de fractura estáticos y dinámicos, los micromecanismos de falla, la resistencia a la abrasión y al rayado, la dureza universal, el módulo reducido de indentación y la resistencia a la fluencia de la superficie. Con esto, se pretende comprender la relación entre la microestructura asociada al proceso de transformación y el comportamiento mecánico. La interpretación de los resultados se hará con la ayuda de técnicas computacionales de simulación y análisis estadístico. Se establecerán además, las ecuaciones constitutivas que gobiernan los procesos así como una eventual correlación entre las propiedades mecánicas globales y superficiales.;1;180000.0;180000.0;180000.0;180000.0;22;11220080100682CO;"deformación y fluencia; indentación instrumentada; tenacidad en impacto";1;;4;6;F
13350;CONICET;ESTUDIO DEL SODIO COMO INICIADOR PRIMORDIAL DE LA CASCADA APOPTÓTICA EN LA INSUFICIENCIA CARDIACA: INTERVENCIÓN DE LA CaMKII COMO INTEGRADORA DE SEÑALES QUE VAN DESDE EL SARCOLEMA HACIA LA MAQUINARIA APOPTÓTICA.;2009/01/01 00:00:00.000;2011/12/31 00:00:00.000;Un aumento en la incidencia de apoptósis ha sido señalado como uno de los determinantes del remodelamiento adverso, de la disfunción contráctil y de la progresión de la insuficiencia cardiaca (IC). Sin embargo, las alteraciones de gatillan el aumento de la apoptosis en la IC y las vías de señalización involucradas aun no han sido completamente dilucidadas. Alteraciones en el manejo del Ca2+i han sido propuestas como una de las señales iniciadores de apoptósis en el corazón insuficiente. Dado que la regulación del Ca2+ está íntimamente ligada a la homeostasis del Na+i a través de su efecto sobre la actividad de intercambiador Na+/Ca2+ (NCX) y que los niveles de Na+i están aumentados en la IC, es probable que los niveles aumentados de Na+i contribuyan a la iniciación de la apoptosis en la IC. Sin embargo, el impacto del Na+i elevado sobre la apoptosis en la IC no ha sido evaluado. La CaMKII es una quinasa activada por Ca2+ y promueve la apoptosis. Sin embargo, sí el aumento del Na+i, lleva a un aumento de Ca+2 que induce su activación, desencadenado la apoptosis, no ha sido aun determinado. En el presente estudio, examinaremos sí el Na+i elevado promueve la apoptosis en la IC, y sí la CaMKII es el segundo mensajero que integra esta alteración y la traduce en señales apoptóticas. Con este propósito, 1) En miocitos aislados de gatos sanos mimetizaremos los aumentos del Na+i observados en el corazón insuficiente y examinaremos si estas alteraciones pueden inducir apoptosis. 2) En un modelo de IC en gatos inducida por coartación aórtica, utilizaremos estrategias farmacológicas y de transferencia génica mediada por adenovirus para revertir los aumentos del Na+i y luego verificar si estas alteraciones reducen el grado de apoptosis y mejoran la disfunción contráctil de los corazones insuficientes 3) examinaremos los mecanismos subcelulares involucrados en la apoptosis inducida por elevado Na+i e intentaremos demostrar la hipótesis de que el Na+i elevado promueve el funcionamiento del modo revertido del NCX induciendo una sobrecarga de Ca2+i que a su vez activa a la CaMKII que inicia la cascada apoptótica. El desarrollo del presente proyecto contribuirá a dilucidar los mecanismos subcelulares que determinan la apoptosis en la IC permitiendo el desarrollo de nuevos fármacos dirigidos a controlar los niveles de Na+i y/o la actividad de la CaMKII a nivel del miocito cardiaco con la finalidad de reducir el remodelamiento adverso de la IC.;1;90000.0;90000.0;90000.0;90000.0;22;11220080101448CO;"Insufiiciencia cardiaca; Apoptosis; Sodio Intracelular";1;;2;0;M
13351;CONICET;"Rol de las vías de señalización de Notch e hipoxia en la regulación de la expresión de las enzimas que degradan A&#946; en el cerebro humano: Relevancia en la Enfermedad de Alzheimer";2009/01/01 00:00:00.000;2011/12/31 00:00:00.000;"La desregulación del metabolismo del péptido amiloide beta (A&#946;) representa un punto fundamental en la patogénesis de la Enfermedad de Alzheimer (EA). Una de las posibles causas de la acumulación de A&#946; en cerebros con EA es una falla en el mecanismo de degradación proteolítica del péptido. En este sentido, la enzima degradadora de insulina (IDE) y neprilisina (NEP) son enzimas claves involucradas en la eliminación fisiológica de A&#946;. Por otra parte, existen varios factores de riesgo predisponentes para la EA, entre los que se encuentra la hipoxia cerebral. Se sabe que Notch, proteína involucrada en diversos procesos de diferenciación celular, se encuentra sobre-expresada en cerebros con EA. Además, trabajos previos han informado que las vías de hipoxia (mediada por HIF-1alfa) y Notch se entrecruzan para activar la transcripción de ciertos genes, dentro de los cuales se encuentra el factor transcripcional inhibitorio Hey1. Teniendo en cuenta estos datos y el hecho de que la expresión y actividad de IDE y NEP se encuentra disminuida en regiones vulnerables al depósito de A&#946; en cerebros con EA, resulta interesante la posibilidad de que las vías de hipoxia y Notch estén implicadas en la regulación de la expresión de estas enzimas en el cerebro. Es por ello que en este trabajo nos proponemos evaluar el rol de las vías de señalización de Notch e hipoxia en la expresión de IDE y NEP y el impacto sobre el metabolismo de A&#946;. Mediante experimentos de co-transfección de HIF-1alfa y el dominio intracelular de Notch (Notch activado) en líneas celulares neuronales, evaluaremos la expresión transcripcional y proteica de IDE y NEP. Asimismo, analizaremos el metabolismo de A&#946; en estas células mediante ensayos de pulso-caza e inmunoprecipitación de A&#946; tanto intracelular como en el medio condicionado.  Por último, se estudiará la expresión de Notch activado y Jagged-1 (ligando de Notch involucrado en su activación) en cerebros de pacientes con EA. Con este último objetivo se pretende demostrar una correlación in vivo entre la sobre-expresión de Notch y su ligando en regiones cerebrales donde se ha documentado la pérdida de expresión de IDE y NEP. En conclusión, este proyecto propone estudiar un nuevo mecanismo en la regulación de la expresión de enzimas que degradan A&#946; en el cerebro y su impacto sobre el metabolismo de este péptido";1;36000.0;36000.0;36000.0;36000.0;22;11220080101660CO;"notch; alzheimer; proteólisis";1;;1;0;M
13352;CONICET;EL ROL DEL ENGROSAMIENTO INTIMAL PATOLÓGICO EN LA PROGRESIÓN DE LA ATEROESCLEROSIS CORONARIA: Estudio en fetos, lactantes y jóvenes;2009/01/01 00:00:00.000;2011/12/31 00:00:00.000;Objetivos: Realizar una caracterización morfológica, morfométrica e inmuno histoquímica de las lesiones pre ateroescleróticas en fetos, lactantes y adultos jóvenes a fin de evaluar el rol del engrosamiento intimal patológico en la progresión de la ateroesclerosis. Método: Se utilizarán 70 infantes que murieron de causas no cardíacas en sus primeros doce meses de vida, incluyendo recién nacidos en los cuales la autopsia descarte daños cardíacos estructurales. Asimismo, se estudiarán 20 fetos muertos después de la semana 35 de gestación y 30 adultos jóvenes de hasta 30 años de edad. Se realizaran cortes seriados de los cuatro grandes troncos coronarios, los que se incluirán en parafina y se efectuaran cortes histológicos de 3 micrones de espesor. Las diferentes secciones se colorearán en forma secuencial con hematoxilina eosina, Azan, Alcian blue, tricrómico de Masson y técnicas para fibras elásticas. Se realizarán también inmunomarcaciones con anticuerpos monoclonales para identificar  linfocitos (CD45RO, CD20, CD8, OPD4), macrófagos (CD68), células endoteliales (CD31, CD34) células musculares lisas (a-SM-Actin). A su vez, se realizará inmunomarcación con PAI-1, TGF-b1, apoptosis, ki67, c-fos y S-100.	Se obtendrán de las historias clínicas, las anamnesis completas, incluyendo la existencia de tabaquismo materno y el estatus lipídico de la madre. Se realizará un estudio morfométrico y planimetría de las lesiones coronarias utilizando un microscopio Nikon Eclipse E400 y un programa de análisis de imágenes (Image Pro Plus ®). Las secciones se magnificaran y digitalizarán. Se medirá el lumen y el área de la placa y se calculará el porcentaje de estenosis.	El análisis estadístico se realizará utilizando el programa Statistics ® versión 7. Los datos se expresarán en meadia ±DS o según corresponda. Los resultados de la morfometría se compararan utilizando el test T de Student no pareado de dos colas. Los resultados no-paramétricos se analizaran usando el test de Mann-Whitney.;1;24000.0;24000.0;24000.0;24000.0;22;11220080103167CO;"pre-ateroesclerosis; coronarias; células musculares lisas";1;;0;2;M
13374;CONICET;Rol de la Autofagia Mediada por VMP1 en la Fisiopatología Pancreática.;2009/01/01 00:00:00.000;2011/12/31 00:00:00.000;El interés de este proyecto es estudiar el rol de la autofagia como respuesta celular en la enfermedad pancreática. La autofagia es un proceso de degradación de componentes celulares mediante la formación de vesículas características denominadas autofagosomas. La autofagia ha sido descripta como un evento celular inicial en pancreatitis. Sin embargo no, está claro si la autofagia es causa o protege de la enfermedad. Recientemente caracterizamos una nueva molécula (Vacuole Membrane Protein 1, VMP1) que se induce tempranamente en células pancreáticas durante la pancreatitis. Demostramos que la expresión de VMP1 induce la formación de autofagosomas y esta implicada en la autofagia inducida por pancreatitis. Como VMP1 es esencial para la formación de autofagosomas, el estudio de la función de la misma nos permitirá dilucidar el rol de la autofagia como respuesta celular ante la enfermedad. Contrastaremos la siguiente hipótesis: La expresión de VMP1 esta relacionada al mecanismo de respuesta celular mediado por autofagia y su participación en diferentes vías moleculares permitirá que la célula sobreviva o la conducirá a una muerte programada. Se utilizarán dos estrategias principales: estudios sobre líneas celulares y estudios sobre un ratón transgénico tejido específico que expresa VMP1 en la célula acinar pancreática. Los modelos celulares se realizarán sobre líneas pancreáticas y se desarrollarán líneas de expresión estable. Estudiaremos las vias moleculares de inducción de la expresión de VMP1. Analizaremos el mecanismo molecular de formación de autofagosomas en el que VMP1 esta implicado. Analizaremos los dominios esenciales para inducir autofagia y su interacción con otras proteínas de autofagia. Abordaremos la búsqueda e identificación de otras proteínas que se asocien a VMP1 mediante la técnica doble híbrido. Estudiaremos el efecto del silenciamiento del gen mediante RNA de interferencia. Para el desarrollo del ratón transgénico utilizamos un vector mediante el cual VMP1 se fusiona al promotor de elastasa pancreática. Analizaremos la ultraestructura pancreática y los marcadores de membranas autofágicas mediante microscopía electrónica y confocal. Finalmente, estudiaremos el rol de la autofagia mediada por VMP1 en la pancreatitis y su relación con la severidad de la enfermedad. El conocimiento del los mecanismos moleculares que la célula elabora ante la enfermedad posibilitará abordar nuevas y más eficientes estrategias terapéuticas.;1;36000.0;36000.0;36000.0;36000.0;22;11420080100097CO;"autofagia; pancreas; muerte celular";1;;;;F
13380;CONICET;Efecto de perturbadores endocrinos en dos especies de interes zootécnico: oveja doméstica (Ovis aries) y yacaré overo (Caiman latirotris).;2009/01/01 00:00:00.000;2011/12/31 00:00:00.000;Entre los compuestos que contaminan el medio ambiente hay químicos con actividad hormonal (perturbadores endocrinos, PE) que afectan la salud de los animales y el hombre. Se ha demostrado que los PE presentan una alta diseminación territorial, incluyendo tanto las áreas de explotación pecuaria como ecosistemas acuáticos no agrícolas, por lo que los animales de interés zootécnico y de la fauna silvestre están altamente expuestos. Esta alta contaminación y exposición podría ser la responsable de la menor fertilidad y/o infertilidad observada en estudios previos. Nuestra hipótesis supone que la exposición a PE durante la histiogénesis y/o organogénesis causa alteraciones en el desarrollo del aparato reproductor, en el control neuroendocrino de la función reproductiva y en el sistema inmune produciendo una menor fertilidad y un incremento de patologías reproductivas. Para investigar esta hipótesis se evaluarán los efectos de la exposición prenatal o neonatal a bajas concentraciones (descriptas en el ambiente) de PE (bisfenol A, dietilestilbestrol, atrazina y endosulfán) en dos especies de interes zootécnico: yacaré overo y oveja doméstica. Específicamente, en yacarés expuestos a PE se estudiará: a) perfiles hematológicos y bioquímicos (con especial atención a los marcadores de inmuno-supresión y las concentraciones de esteroides sexuales circulantes), b) variables sexualmente dimórficas (núcleos del diencéfalo y estructuras corticales, parámetros craneo-faciales y genitales externos). En corderas expuestas a PE se investigará: a) el desarrollo folicular y la esteroidogenesis ovárica, b) la respuesta ovárica a un tratamiento superovulatorio, c) la histomorfología y la expresión de genes reguladores de la morfogénesis uterina, d) el momento de la pubertad y aspectos relacionados con la eficiencia reproductiva. Los resultados a obtener intentan describir los efectos y mecanismos de acción de PE sobre aspectos significativos de la biología reproductiva de dos especies animales de interes productivo.;1;300000.0;300000.0;300000.0;300000.0;22;11220080100218CO;"perturbación endócrina; reproducción; especies de interes zootécnico";1;;6;4;M
13381;CONICET;RESIDUOS DE MEDICAMENTOS VETERINARIOS EN ALIMENTOS DE ORIGEN ANIMAL: VALORACIÓN FARMACO-TOXICOLÓGICA EN DIFERENTES ESPECIES ANIMALES;2009/01/01 00:00:00.000;2011/12/31 00:00:00.000;"El impacto de los fármacos antihelmínticos en la aparición de residuos en alimentos es relevante debido a su uso masivo en animales de producción. A pesar de su uso como herramienta principal para prevenir y/o mitigar el impacto negativo del parasitismo, la información disponible sobre la presencia de residuos de estos compuestos en productos de origen animal y los posibles riesgos para la salud del consumidor es muy limitada. Si bien nuestro país es un gran productor de carne y leche bovina, en los últimos años, la producción de carne de aves ha tenido un fuerte incremento, a lo cual se suma un crecimiento en la producción de huevos. Para enfrentar con éxito un problema de la magnitud e importancia del uso de antiparasitarios en producción animal y su potencial impacto en la presencia de residuos en alimentos, se torna relevante conocer: 1) el comportamiento farmacocinético de las mismas 2) los factores que pueden modificar los procesos de distribución tisular y/o excreción mamaria y 3) el impacto que los niveles residuales de estos fármacos pueden tener sobre la calidad higiénico-sanitaria de alimentos y productos derivados. En el presente proyecto se propone trabajar con moléculas de dos grupos de fármacos, los antihelmínticos benzimidazoles (albendazole, flubendazole, fenbendazole) y las lactonas macrocíclicas (ivermectina, moxidectin, doramectina) con el siguiente OBJETIVO GENERAL: 'Identificar factores que modifican la presencia de concentraciones residuales de fármacos antiparasitarios en tejidos/productos de origen animal (carne, huevo, leche) destinados a consumo humano'. Se busca generar conocimiento científico original que impacte directamente en la mejora de la calidad de los alimentos destinados al consumo interno y exportación. Para ello, se estudiará: la farmacocinética de dichos fármacos en animales tratados (ovinos, bovinos, aves), la distribución tisular de residuos y los factores que puedan afectar dicha distribución; la eliminación de antihelmínticos en leche y el impacto que los mismos puedan tener sobre la calidad higiénico-sanitaria de esta y/o alimentos derivados. El plan de trabajo se divide en: SECCION I: ESTUDIOS DE RESIDUOS EN BOVINOS Y OVINOS DE CARNE. SECCION II: EVALUACIÓN DE LA APARICIÓN DE RESIDUOS DE ANTIPARASITARIOS EN ALIMENTOS DERIVADOS DE AVES. Sección III: PERFIL DE RESIDUOS LACTEOS DE FARMACOS ANTIPARASITARIOS EN RUMIANTES: EVALUACION COMPARATIVA ENTRE ESPECIES ANIMALES.";1;90000.0;90000.0;90000.0;90000.0;22;11220080102184CO;"RESIDUOS DE MEDICAMENTEOS VETERINARIOS; PRODUCCION ANIMAL; CALIDAD DE ALIMENTOS DE ORIGEN ANIMAL";1;;3;1;F
13405;CONICET;Verificación Parcial de Software;2009/01/01 00:00:00.000;2011/12/31 00:00:00.000;La exploración automática y exhaustiva (model checking) de descripciones formales operacionales de sistemas (ya sean modelos abstractos de requerimientos o diseño o el mismo código) promete ser un enfoque efectivo para encontrar errores de manera temprana, minimizando intervención manual y proveyendo garantías “duras” de corrección del artefacto bajo análisis. Sin embargo, el número de estados del artefacto bajo análisis suele ser demasiado grande como para que la verificación completa del espacio del espacio de estados no sea factible ya sea por limitaciones de tiempo o de memoria. Las técnicas y herramientas de model checking actuales no provén información útil en estos casos ya que o simplemente informan que se han quedado sin recursos para continuar la búsqueda o deben ser abortados por el usuario. En el mejor de los casos, estas tecnologías informan un número de estados del artefacto bajo análisis que han sido explorados, pero este número no tiene una vinculación aparente con el problema descrito por el artefacto en cuestión y por lo tanto no provee ninguna información significativa al usuario de estas tecnologías. Este proyecto parte de la siguiente pregunta: ¿Se pueden dar garantías parciales de correctitud cuando una exploración automática, supuestamente exhaustiva, ha cubierto parcialmente el espacio de estados de una descripción formal sin haber encontrado un errores? La hipótesis del proyecto es que conociendo el perfil operacional del sistema descrito con el artefacto bajo análisis, es posible cuantificar una exploración incompleta de manera tal que esta cuantificación resulte una medida de confiabilidad de la verificación parcial.En este proyecto, formalizaremos la noción de perfil operacional y su vínculo con modelos de comportamiento y código. Formularemos confiabilidad de manera precisa mediante una caracterización probabilística del espacio de estados recorrido de un artefacto bajo análisis en el contexto de un perfil operacional. Plantearemos soluciones algorítmicas teóricas para computar dicha medida de confiabilidad y desarrollaremos prototipos, extendiendo model checkers y software model checkers de código existentes para validar estas nociones en la práctica. En resumen este proyecto proveerá fundamentos, técnicas y herramientas que aporten a la verificación parcial de software.;1;90000.0;90000.0;90000.0;90000.0;22;11220080100955CO;"Verificacion; Model Checking; Confiabilidad";1;;0;3;M
