actividad_economica_id;actividad_economica_desc;codigo_rev4;padre_id;nivel
1;AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA;A;;0
2;Agricultura, ganadería, caza y actividades de servicios conexas;01;1;1
3;Cultivo de plantas no perennes;011;2;2
4;Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas;0111;3;3
5;Cultivo de arroz ;0112;3;3
6;Cultivo de hortalizas y melones, raíces y tubérculos;0113;3;3
7;Cultivo de caña de azúcar ;0114;3;3
8;Cultivo de tabaco ;0115;3;3
9;Cultivo de plantas de fibra ;0116;3;3
10;Cultivo de otras plantas no perennes;0119;3;3
11;Cultivo de plantas perennes;012;2;2
12;Cultivo de uva ;0121;11;3
13;Cultivo de frutas tropicales y subtropicales;0122;11;3
14;Cultivo de cítricos ;0123;11;3
15;Cultivo de frutas de pepita y de hueso;0124;11;3
16;Cultivo de otros frutos y nueces de árboles y arbustos;0125;11;3
17;Cultivo de frutos oleaginosos;0126;11;3
18;Cultivo de plantas con las que se preparan bebidas ;0127;11;3
19;Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas;0128;11;3
20;Cultivo de otras plantas perennes ;0129;11;3
21;Propagación de plantas ;013;2;2
22;Propagación de plantas ;0130;21;3
23;Ganadería ;014;2;2
24;Cría de ganado bovino y búfalos;0141;23;3
25;Cría de caballos y otros equinos;0142;23;3
26;Cría de camellos y otros camélidos;0143;23;3
27;Cría de ovejas y cabras ;0144;23;3
28;Cría de cerdos ;0145;23;3
29;Cría de aves de corral ;0146;23;3
30;Cría de otros animales;0149;23;3
31;Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta) ;015;2;2
32;Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta) ;0150;31;3
33;Actividades de apoyo a la agricultura y la ganadería y actividades poscosecha;016;2;2
34;Actividades de apoyo a la agricultura;0161;33;3
35;Actividades de apoyo a la ganadería;0162;33;3
36;Actividades poscosecha;0163;33;3
37;Tratamiento de semillas para propagación ;0164;33;3
