,,Publicaciones mujeres (%),Publicaciones hombres (%),Publicaciones mujeres (per capita),Publicaciones hombres (per capita),Publicaciones mujeres SD (per capita),Publicaciones hombres SD (per capita),Total publicaciones (N),Cantidad de mujeres (Nm),Cantidad de hombres (Nh)
2011-01-01,Investigador asistente,53.23,46.77,7.02,8.48,4.87,5.98,10475.0,794.0,578.0
2011-01-01,Investigador adjunto,48.93,51.07,9.53,11.24,6.21,9.31,17516.0,899.0,796.0
2011-01-01,Investigador independiente,43.81,56.19,12.38,14.17,7.64,9.89,16367.0,579.0,649.0
2011-01-01,Investigador principal,33.57,66.43,18.88,20.12,13.27,13.56,10236.0,182.0,338.0
2011-01-01,Investigador superior,19.11,80.89,21.35,22.81,14.27,16.16,2904.0,26.0,103.0
2011-01-01,Becario doctoral,57.59,42.41,2.85,3.22,3.41,4.11,11409.0,2305.0,1504.0
2011-01-01,Becario postdoctoral,55.35,44.65,5.49,6.4,3.6,5.63,7480.0,754.0,522.0
2011-01-01,Personal de apoyo,61.0,39.0,4.37,3.33,4.61,4.88,1195.0,167.0,140.0
2011-01-01,Gestión CyT,,,,,,,0.0,0.0,0.0
2011-01-01,Pasante,100.0,0.0,1.0,,,,1.0,1.0,0.0
2011-01-01,Otro personal Conicet,100.0,0.0,3.33,0.0,2.34,,20.0,6.0,1.0
2011-01-01,Investigador correspondiente,,,,,,,0.0,0.0,0.0
2011-01-01,Investigador superior emérito,,,,,,,0.0,0.0,0.0
2012-01-01,Investigador asistente,51.51,48.49,7.14,8.53,4.56,6.13,12079.0,871.0,687.0
2012-01-01,Investigador adjunto,50.01,49.99,9.45,11.08,6.6,9.31,18659.0,987.0,842.0
2012-01-01,Investigador independiente,43.7,56.3,12.26,14.38,7.58,10.21,18972.0,676.0,743.0
2012-01-01,Investigador principal,35.99,64.01,19.48,20.25,19.58,13.09,12338.0,228.0,390.0
2012-01-01,Investigador superior,19.13,80.87,22.42,21.46,14.59,14.22,2813.0,24.0,106.0
2012-01-01,Becario doctoral,56.85,43.15,2.89,3.29,3.15,4.52,11750.0,2314.0,1543.0
2012-01-01,Becario postdoctoral,56.22,43.78,5.7,6.82,3.61,10.56,8523.0,841.0,547.0
2012-01-01,Personal de apoyo,63.18,36.82,4.59,3.14,5.28,4.1,1263.0,174.0,148.0
2012-01-01,Gestión CyT,100.0,0.0,12.0,,,,12.0,1.0,0.0
2012-01-01,Pasante,100.0,0.0,2.0,,,,2.0,1.0,0.0
2012-01-01,Otro personal Conicet,71.11,28.89,2.91,2.17,2.17,3.54,45.0,11.0,6.0
2012-01-01,Investigador correspondiente,,,,,,,0.0,0.0,0.0
2012-01-01,Investigador superior emérito,,,,,,,0.0,0.0,0.0
2013-01-01,Investigador asistente,50.34,49.66,7.62,9.17,4.58,10.63,17884.0,1182.0,969.0
2013-01-01,Investigador adjunto,49.99,50.01,9.83,11.3,6.99,8.66,20252.0,1030.0,896.0
2013-01-01,Investigador independiente,42.76,57.24,12.4,15.04,7.8,10.76,19080.0,658.0,726.0
2013-01-01,Investigador principal,37.33,62.67,19.09,19.74,24.26,13.14,11813.0,231.0,375.0
2013-01-01,Investigador superior,27.72,72.28,27.24,21.58,14.08,13.11,4030.0,41.0,135.0
2013-01-01,Becario doctoral,57.18,42.82,2.77,3.02,2.87,4.13,11515.0,2375.0,1631.0
2013-01-01,Becario postdoctoral,57.78,42.22,5.87,6.72,3.62,5.3,8896.0,875.0,559.0
2013-01-01,Personal de apoyo,58.27,41.73,4.4,3.41,5.32,4.77,1373.0,182.0,168.0
2013-01-01,Gestión CyT,100.0,0.0,10.0,,,,10.0,1.0,0.0
2013-01-01,Pasante,100.0,0.0,2.0,,,,2.0,1.0,0.0
2013-01-01,Otro personal Conicet,17.04,82.96,2.71,12.33,2.55,19.7,223.0,14.0,15.0
2013-01-01,Investigador correspondiente,,,,,,,0.0,0.0,0.0
2013-01-01,Investigador superior emérito,,,,,,,0.0,0.0,0.0
2014-01-01,Investigador asistente,51.13,48.87,7.75,9.46,4.66,12.68,20616.0,1360.0,1065.0
2014-01-01,Investigador adjunto,50.01,49.99,9.74,11.18,6.89,8.11,21623.0,1110.0,967.0
2014-01-01,Investigador independiente,43.14,56.86,12.51,15.49,8.24,12.1,21085.0,727.0,774.0
2014-01-01,Investigador principal,38.72,61.28,17.46,19.06,9.76,12.16,11631.0,258.0,374.0
2014-01-01,Investigador superior,31.1,68.9,36.19,23.55,60.95,15.07,5469.0,47.0,160.0
2014-01-01,Becario doctoral,58.16,41.84,2.74,2.94,3.0,3.49,11354.0,2406.0,1617.0
2014-01-01,Becario postdoctoral,57.85,42.15,5.84,6.67,3.77,4.7,9378.0,929.0,593.0
2014-01-01,Personal de apoyo,58.46,41.54,4.24,3.35,4.95,4.86,1413.0,195.0,175.0
2014-01-01,Gestión CyT,100.0,0.0,11.0,,,,11.0,1.0,0.0
2014-01-01,Pasante,100.0,0.0,2.0,,,,2.0,1.0,0.0
2014-01-01,Otro personal Conicet,18.82,81.18,2.69,10.79,3.2,18.47,186.0,13.0,14.0
2014-01-01,Investigador correspondiente,0.0,100.0,,31.0,,,31.0,0.0,1.0
2014-01-01,Investigador superior emérito,,,,,,,0.0,0.0,0.0
2015-01-01,Investigador asistente,54.45,45.55,7.66,8.93,4.43,14.08,19378.0,1378.0,988.0
2015-01-01,Investigador adjunto,49.48,50.52,9.29,10.92,6.5,8.42,23447.0,1249.0,1085.0
2015-01-01,Investigador independiente,45.01,54.99,12.61,14.79,8.41,14.66,24320.0,868.0,904.0
2015-01-01,Investigador principal,37.03,62.97,16.62,20.07,10.23,14.9,15167.0,338.0,476.0
2015-01-01,Investigador superior,32.16,67.84,35.05,23.37,62.0,15.83,5995.0,55.0,174.0
